Skeleton 016:LFTC X,Skeleton 016:LFTC Y,Skeleton 016:LFTC Z
-798.534912,957.530579,-1256.466309
-798.503906,957.602844,-1256.530396
-798.446838,957.646057,-1256.613037
-798.450439,957.662048,-1256.712402
-798.473572,957.639587,-1256.764648
-798.537109,957.622009,-1256.779663
-798.528442,957.635742,-1256.749512
-798.545593,957.549316,-1256.735962
-798.522827,957.393066,-1256.662598
-798.471069,957.259521,-1256.641113
-798.466309,957.284729,-1256.702271
-798.493896,957.447144,-1256.781494
-798.509399,957.537842,-1256.779907
-798.564697,957.542236,-1256.677979
-798.555786,957.432434,-1256.533691
-798.507629,957.275818,-1256.360352
-798.432068,957.192444,-1256.24707
-798.374451,957.248657,-1256.193359
-798.391968,957.25177,-1256.078613
-798.390076,957.172363,-1255.8927
-798.330444,957.146057,-1255.661743
-798.25293,957.152283,-1255.449341
-798.121521,957.159302,-1255.224976
-798.025818,957.173706,-1255.056885
-798.112793,957.05188,-1254.849731
-798.165466,956.952332,-1254.621094
-798.183472,956.904175,-1254.381226
-798.081665,956.932556,-1254.051636
-797.941589,956.955933,-1253.697388
-797.857727,956.956726,-1253.328979
-797.695679,956.933472,-1252.968018
-797.728577,957.027466,-1252.527588
-797.631958,956.973206,-1252.072021
-797.473633,956.960876,-1251.561401
-797.304016,956.989563,-1251.008179
-797.147644,956.977539,-1250.299805
-797.023499,956.921936,-1249.599731
-796.871643,956.927185,-1248.954102
-796.826416,957.051086,-1248.393921
-796.712158,957.05957,-1247.71582
-796.559387,957.040405,-1246.870361
